company,title,location,javascript,html,css,python,sql,java,c#,bash,c++,php,kotlin,rust,ruby,dart,swift,golang
Cambium Learning Group,Software Engineer,Remote,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Intuit,"Software Engineer 2, ANDROID",CA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Indeed,Software Engineer II,CA,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Northrop Grumman,"2023 Associate Software Engineer-Rolling Meadows, IL",IL,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
,Software Engineer - Remote,Remote,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
eBay Inc.,Full Stack Software Engineer,CA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
BeaconFire Solution,Entry-level Software Developer,NJ,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
eBay Inc.,Android Software Engineer,WA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
hireEZ,Software Engineer,Remote,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
eBay Inc.,Software Engineer - Open Telemetry,CA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
eBay Inc.,"iOS Software Engineer, MTS 1",GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
eBay Inc.,Software Engineer 2,OR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Disney Media & Entertainment Distribution,Principal Software Engineer,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intel,Software Engineer - Entry Level (ATL),GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armada,Software Engineer,Remote,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Canopy Servicing,Backend Engineer,Remote,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SummitWorks Technologies Inc,Entry Level Java Developer,Remote,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
CPS Recruitment,Software Engineer - REMOTE - SPONSORSHIP AVAILABLE / 57542,NY,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Emergent Software,Software Quality Assurance (QA) Engineer - 100% Remote,Remote,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Varasset,Entry Level Software Developer,Remote,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Trane Technologies,Software Test Engineer,MN,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Amazon,Software Development Engineer,MI,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"Sorenson Communications, LLC","Software Engineer (API, Node.js, C#)",Remote,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Catalyte,Software Developer Apprentice,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Pok�mon Company International,Sr. Software Development Engineer,WA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Arcules,Senior Software Engineer - Backend (6-12 Month Contract) (Remote),WV,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1
Dow Jones,Software Engineer,NY,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1
Human Interest,"Software Engineer, Backend",CA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Meta,"Software Engineer, Computer Vision",NY,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Apple,Software Engineer (Early Career),TX,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Intuit,Backend Software Engineer 2,CA,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Capital One,"Software Engineer, Full Stack (Remote - Eligible)",NY,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Capital One,Sr. Cloud Software Engineer (Remote-Eligible),NY,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Capital One,Principal Software Engineer-Remote Eligible,NY,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Indeed,"Software Engineer 1 (Full Stack) - Product Technology - Remote, Seattle, SF or Austin",WA,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
Liberty Mutual Insurance,Software Engineer - Remote,Remote,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Savvy,Software Engineer,NY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
eBay Inc.,"Software Engineer, Backend (MTS 2)",GA,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Disney Media & Entertainment Distribution,Software Engineer II,CA,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Disney Media & Entertainment Distribution,Principal Software Engineer,NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Property Matrix,Entry Level Software Developer,CA,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0
Reciprocity,"Software Engineer, Backend - Remote",TX,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mutual of Omaha,Backend Engineer (AWS / TypeScript / Node)-Remote,Remote,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
H&R Block,Assoc Software Engineer-S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Pok�mon Company International,Sr. Software Development Engineer,WA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Stanford University,Software Developer 1,CA,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Cosairus LLC,Software Development QA Tester,GA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BNL Consulting,"Sr. Angular Developer (Remote, 3-month Contract)",Remote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zillow,Software Test Engineer,Remote,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Zillow,Backend Software Engineer,Remote,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
The Pok�mon Company International,Software Development Engineer (ElasticPath),WA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zillow,"Software Development Engineer, BI Platform Team",Remote,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Apple,Full Stack Software Development Engineer (Early Career),TX,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
The Pok�mon Company International,"Software Development Engineer in Test (SDET) [Multiple Openings: Level 2, 3 & Senior] (Hybrid)",WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uber,Backend Software Engineer - Marketplace Pricing & Incentives,WA,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Meta,"Software Engineer, Language",NY,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Palantir Technologies,Software Engineer,NY,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Meta,Android Software Engineer,NY,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Engtal,Software Engineer Backend,Remote,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Apple,Software Quality Assurance Engineer,CA,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
Liberty Mutual Insurance,Principal Software Engineer - Remote,Remote,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Capital One,"Software Engineer, Back End (Remote Eligible)",NY,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Capital One,"Software Engineer, Full Stack (Remote - Eligible)",DE,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Indeed,Software Engineer I - Marketplace - Enterprise Team,NY,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Capital One,Senior Software Engineer; Backend; Remote Eligible,DE,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Indeed,Software Engineer II,NY,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Indeed,Backend Software Engineer - Resume Search - Enterprise Team,WA,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Capital One,Sr. Cloud Software Engineer (Remote-Eligible),NY,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Capital One,Principal Software Engineer-Remote Eligible,NY,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
